Default,loan_amnt,int_rate,grade,emp_length,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,open_acc,revol_bal,revol_util,total_pymnt
0,25475,19.29%,E,10+ years,23.44,0,2,,12,21660,61.40%,26290.00191
0,30000,20.25%,F,5 years,10.46,0,3,66,10,43491,90.60%,46316.2
1,7100,7.49%,A,2 years,27.18,0,2,,5,15898,25.30%,3269.67
0,4000,17.99%,E,< 1 year,24.08,0,1,,6,3380,71.40%,6028.44
0,4150,7.49%,A,10+ years,11.27,0,0,,8,2058,19.80%,4646.548003
0,8000,7.49%,A,10+ years,15.43,1,0,15,9,16521,66.10%,8957.23864
0,30000,11.99%,B,10+ years,27.63,0,0,,10,26086,52.20%,38046.27314
0,12800,11.49%,B,10+ years,19.4,0,0,38,8,5094,58.60%,15193.09845
0,4200,5.99%,A,5 years,4.12,0,2,76,12,5727,13.70%,4599.088934
0,6000,9.99%,B,9 years,12.68,0,2,56,7,180,12%,6698.831724
1,18550,17.99%,E,10+ years,24.15,0,1,,10,8764,92.30%,22556.53
1,35000,17.49%,D,10+ years,6.2,1,0,13,21,24376,31.80%,13992.04
0,4000,5.99%,A,4 years,5.91,0,2,,12,1594,4.80%,4095.451054
0,15050,20.99%,F,10+ years,24.97,0,1,,16,15170,90.30%,19367.96936
1,4600,13.99%,C,5 years,14.26,0,1,,9,5837,78.90%,206.65
0,10000,10.59%,B,1 year,12.99,0,1,,5,6379,79.70%,11429.23612
0,15000,10.99%,B,10+ years,22.88,0,0,,7,15099,77%,17649.77392
1,5800,16.49%,D,5 years,1.49,0,0,,3,2917,49.40%,5399.17
0,7500,5.99%,A,10+ years,21.02,0,2,,12,7044,9%,8162.925896
0,22400,12.99%,C,3 years,15.46,0,0,,3,25675,89.80%,27166.8929
0,10000,6.99%,A,6 years,3.73,0,0,,5,9021,1.60%,11114.09033
0,7200,13.49%,C,10+ years,13.44,0,1,46,6,22598,86.80%,8794.766735
0,2500,8.49%,A,5 years,19.95,0,3,,15,42288,68.40%,2517.96
0,35000,17.49%,D,1 year,13.53,0,0,49,15,18116,44.10%,36014.94886
0,25000,15.99%,D,10+ years,15.18,0,2,,19,27667,40.60%,35175.62
0,14000,6.99%,A,3 years,14.22,0,0,,8,4880,23.20%,15052.89061
0,7200,7.49%,A,3 years,16.65,0,2,,18,12149,29.50%,8028.055177
0,20000,19.29%,E,2 years,11.48,0,2,74,2,0,0%,22805.01665
0,4000,5.99%,A,3 years,18.88,0,1,,8,143,0.80%,4380.105313
0,30000,19.69%,E,5 years,12.05,0,2,,15,107504,94.60%,46414.66992
0,5575,9.99%,B,2 years,8.63,0,0,,12,7734,41.60%,5987.99776
0,7125,6.99%,A,n/a,1.78,0,0,,4,1982,44%,7918.789847
1,35000,17.99%,E,10+ years,9.39,1,6,12,7,0,0%,37171.94
1,7000,12.99%,C,1 year,22.06,1,0,18,7,15886,90.80%,5423.13
0,8400,13.49%,C,2 years,21.06,2,0,10,7,6004,61.90%,10260.53429
0,10000,15.62%,D,10+ years,18.75,0,0,,13,65782,95.80%,12589.06992
0,8000,15.99%,D,10+ years,10.69,1,1,16,5,14999,64.90%,9973.99
0,8400,11.49%,B,10+ years,19.42,0,0,35,6,3913,61.10%,9970.496147
0,25000,15.99%,D,3 years,28.72,0,0,,6,49834,88.20%,35200.83
0,2500,11.49%,B,3 years,9.46,0,0,45,7,12,0.10%,3296.6
1,5000,13.49%,C,3 years,6.85,0,0,,4,15698,91.80%,5815.7
0,4500,5.42%,A,1 year,12.5,0,0,,8,4474,48.10%,4869.16052
0,5000,10.99%,B,< 1 year,3.91,0,0,,8,3077,29.40%,5676.276997
0,17600,12.99%,C,3 years,12.84,0,0,,3,12139,48.80%,23274.47995
0,25000,20.99%,F,2 years,15.73,1,2,5,11,4796,44.80%,36767.26012
0,5850,7.49%,A,4 years,9.7,0,0,,7,2754,25.50%,6018.48
0,18000,11.49%,B,10+ years,18.82,0,0,,11,23166,79.90%,21365.31998
0,10000,15.99%,D,n/a,4.5,0,2,,12,5331,32.50%,11586.18702
0,8150,15.23%,C,10+ years,19.15,0,1,77,16,18665,50.70%,10203.80344
0,5425,8.49%,A,10+ years,21.16,0,3,,21,25996,51.50%,6164.229113
0,35000,19.69%,E,1 year,9.64,0,0,,9,31378,93.70%,48963.19892
0,6000,12.99%,C,10+ years,12.79,0,1,,9,7390,84%,7276.813163
0,4000,6.99%,A,10+ years,21.28,0,0,,16,27327,35.90%,4089.702787
1,15000,22.11%,G,10+ years,4.54,0,2,,8,13275,69.50%,2900.31
0,8000,12.99%,C,< 1 year,11.84,0,1,,12,11522,54.90%,9024.173123
0,5000,8.49%,A,1 year,11.95,1,1,13,11,2834,29.50%,5568.575442
0,3000,11.49%,B,2 years,10.22,0,0,74,4,549,16.60%,3308.24856
0,3900,5.99%,A,n/a,4.53,0,0,,5,3591,47.20%,4041.95
0,15000,5.99%,A,1 year,6.16,0,0,,9,12659,21%,16425.36995
0,28000,7.49%,A,< 1 year,0.44,0,0,,10,2029,4.30%,29804.4212
0,17700,11.49%,B,10+ years,10.34,0,0,72,16,17712,57.10%,21009.22121
0,4000,6.99%,A,3 years,17.17,0,3,,4,8716,59.70%,4445.604738
1,11200,11.99%,B,< 1 year,21.71,0,3,,14,5091,44.30%,5229.81
0,30000,15.99%,D,4 years,13.54,0,1,77,11,28504,79%,35207.01991
0,10000,15.99%,D,4 years,6.56,1,2,12,5,1053,22.90%,12257.04143
0,6200,8.49%,A,3 years,8.56,0,0,,6,8433,45.60%,6794.585719
0,20000,7.49%,A,10+ years,26.67,0,0,78,19,22644,24%,22393.13914
0,7000,10.99%,B,2 years,22.23,0,0,,7,0,0%,8803.06
0,20200,11.99%,B,2 years,1.31,0,0,,4,1194,7.40%,26774.66002
1,3000,14.79%,C,7 years,18.96,0,1,80,7,14958,71.60%,516.7
1,6000,10.99%,B,5 years,11.98,1,0,18,8,3255,72.30%,1931.27
0,16000,17.49%,D,7 years,21.68,0,0,,9,15299,65.70%,23253.69
0,2500,5.42%,A,1 year,0.36,0,0,,7,8,0.20%,2714.383596
0,7000,5.99%,A,7 years,18.65,0,0,74,9,6500,32%,7658.73562
0,30000,12.99%,C,10+ years,13.21,0,1,,10,21217,49.80%,39837.40992
0,7500,7.49%,A,4 years,4.4,0,0,48,7,6924,35.10%,8397.40594
0,20000,11.49%,B,5 years,24.61,0,0,,15,36339,65.80%,22829.74092
0,16000,5.99%,A,n/a,6.27,0,0,,11,6703,15.10%,17520.42125
0,6000,5.42%,A,n/a,15.78,0,1,,8,5236,25.20%,6054.200507
0,9300,9.99%,B,10+ years,27.28,0,0,,16,12493,20.30%,9604.133233
0,10000,5.99%,A,2 years,10.09,0,2,,6,1211,12.60%,10919.35689
1,12000,13.99%,C,10+ years,0.35,0,2,,3,918,16.70%,2737.97
0,2400,7.49%,A,6 years,10.16,0,2,41,15,7990,44.10%,2687.154691
0,10000,18.39%,E,2 years,13.86,0,1,,13,7704,25.90%,11595.59528
0,15000,13.99%,C,10+ years,14.46,0,1,,21,18161,18.60%,16286.15539
1,3000,13.99%,C,10+ years,1.65,1,1,19,7,1207,25.10%,3383.16
0,9000,5.99%,A,3 years,19.61,0,0,,10,11652,39.10%,9676.10373
1,26375,19.29%,E,2 years,22.84,0,0,,12,35849,76.90%,4877.81
0,5000,8.49%,A,9 years,4.95,0,3,,6,3402,10.90%,5633.449254
0,15000,11.49%,B,10+ years,6.07,0,1,61,8,15050,47.60%,17403.94995
1,17500,20.99%,F,3 years,11.09,0,2,,6,15935,98.40%,20260.26
0,4425,17.49%,D,10+ years,24.17,0,2,44,5,7617,97.70%,5718.343556
0,14000,10.99%,B,10+ years,11.34,0,1,,3,5025,55.80%,16497.89947
1,8000,15.99%,D,10+ years,5.31,2,3,20,6,1687,51.10%,3972.4
0,3600,16.49%,D,1 year,23.59,0,1,,7,5595,96.50%,3836.573687
0,16000,15.99%,D,3 years,13.3,0,0,,7,6189,69.50%,21489.46069
0,7200,9.99%,B,9 years,14.86,0,1,46,9,7778,60.30%,8362.437728
0,13000,7.49%,A,10+ years,18.4,0,1,,11,21865,39.70%,14555.52335
0,6600,11.49%,B,1 year,16.4,1,0,19,6,4908,76.70%,7813.474377
0,20000,15.23%,C,4 years,24.77,0,2,,14,14934,78.60%,27646.35
0,35000,13.99%,C,10+ years,13.16,0,3,,9,51856,62.60%,41491.74913
0,5000,8.49%,A,5 years,6.6,0,2,,4,3240,18.20%,5518.049278
0,6825,7.49%,A,< 1 year,22.15,0,0,,7,22238,63.90%,7375.488582
0,12000,18.39%,E,10+ years,15.79,0,0,,9,34930,81.20%,12185.81
0,7000,9.99%,B,n/a,26.51,0,1,,9,10237,62.40%,8119.009856
0,24000,17.99%,E,10+ years,14.16,0,0,48,15,6515,32.60%,26770.46991
0,3000,12.99%,C,1 year,12.44,0,2,33,2,798,66.50%,3622.407
0,8500,7.49%,A,4 years,13.14,0,0,,9,8461,66.60%,9517.071339
0,10400,5.99%,A,9 years,12.11,0,0,,6,27,0.20%,10935.00923
0,7500,10.99%,B,5 years,15.81,0,0,,9,8090,44.60%,8838.142085
0,6475,10.59%,B,1 year,7.13,1,0,16,4,473,17.50%,7437.876282
0,20000,16.89%,D,10+ years,12.28,0,1,,10,24884,53.70%,29358.33
0,11500,8.49%,A,< 1 year,16.14,0,0,70,5,10998,64.30%,13067.01029
0,12000,13.99%,C,10+ years,7.4,0,1,55,9,501,13.50%,16175.98
0,12000,10.59%,B,7 years,17.02,0,1,,11,13900,57.90%,14059.38825
1,2000,13.99%,C,2 years,0.51,0,1,24,2,278,9.90%,2111.14
0,3500,5.42%,A,5 years,5.85,0,0,,9,10072,30.70%,3800.137246
1,8875,10.59%,B,< 1 year,15.54,0,3,,6,9012,67.80%,7639.15
0,14400,9.99%,B,< 1 year,14.21,0,0,,13,18859,41%,16337.80376
0,10000,7.49%,A,2 years,21.35,0,1,,9,15742,71.60%,11143.98875
0,9600,12.99%,C,10+ years,13.44,0,1,74,14,13683,28.30%,11143.36911
0,7500,15.99%,D,9 years,21.74,2,3,10,8,84360,30.30%,7600.73
0,7250,11.99%,B,10+ years,22.97,0,2,,8,7183,70.40%,8584.25726
0,3000,12.99%,C,< 1 year,15.09,0,1,,6,11520,78.40%,3892.322433
1,6000,9.99%,B,4 years,19.53,0,0,,9,5218,45.40%,4028.29
0,9800,9.99%,B,10+ years,19.1,0,0,,16,7058,12%,12063.04
1,15600,17.49%,D,10+ years,15,0,0,,6,4119,51.50%,2029.02
0,8000,8.49%,A,10+ years,25.97,0,0,,16,5193,8.70%,9824.57
0,8000,7.49%,A,10+ years,17.98,0,0,,6,38006,0%,8050.31
0,12450,16.49%,D,10+ years,10.01,0,0,,3,24793,68.30%,13123.12105
0,5400,10.59%,B,10+ years,14.13,0,3,70,9,6567,21.60%,6295.484048
0,5000,6.99%,A,10+ years,23.25,0,2,,7,3008,47.70%,5526.736943
0,9500,13.99%,C,10+ years,21.98,0,1,38,11,15419,49.60%,11687.01552
0,15000,11.99%,B,10+ years,4.39,0,0,,11,26090,23%,17933.09884
0,30000,16.89%,D,5 years,7.12,0,0,46,6,1948,72.10%,35828.27702
1,9000,11.49%,B,3 years,15.86,1,0,21,9,12689,34.50%,6750.5
0,15000,11.99%,B,< 1 year,11.09,0,0,,6,27300,69.30%,17335.87294
0,6375,5.99%,A,6 years,29.92,0,0,,17,10183,12.80%,6438.23
1,7950,16.49%,D,10+ years,20.28,0,3,,15,10955,41.20%,6779.69
0,19725,9.99%,B,10+ years,9.81,0,0,,13,19741,78%,22909.58237
0,30000,18.79%,E,< 1 year,10.69,0,1,,14,15697,90.20%,39307.44709
1,6125,16.89%,D,1 year,19,1,0,15,6,21499,96.10%,3799.32
0,6000,10.59%,B,10+ years,14.66,0,0,29,9,13606,73.20%,6622.88853
0,12000,5.42%,A,7 years,5.62,0,0,,8,7345,11.20%,13029.04965
0,25000,12.99%,C,8 years,14.37,0,0,,9,25948,35.80%,29138.56158
0,24000,10.99%,B,1 year,12.33,1,1,12,22,10332,14.80%,27355.56201
0,19550,15.62%,D,< 1 year,7.49,0,1,,4,34565,95.70%,24585.42656
0,5000,6.99%,A,n/a,15.72,0,1,,10,28598,36.90%,5557.025543
0,31300,18.79%,E,10+ years,17.57,0,2,27,13,44586,55%,45419.31548
0,15350,8.49%,A,10+ years,18.43,0,0,,12,45620,48.50%,16882.83765
0,11000,15.23%,C,6 years,8.4,0,1,,6,2042,20%,15685.23002
0,20000,17.99%,E,7 years,15.44,0,1,,12,48418,94.90%,28892.37642
0,24000,11.49%,B,6 years,11.77,0,1,24,11,11129,50.40%,28487.09333
0,2875,7.49%,A,< 1 year,21.6,0,0,,14,8653,48.10%,3219.006316
0,35000,10.99%,B,10+ years,14.35,0,0,,9,49843,22.90%,44111.96
0,33950,11.99%,B,10+ years,6.22,0,0,,12,15951,21.90%,40470.08281
1,4800,22.85%,G,< 1 year,7.51,0,3,43,4,981,98.10%,4866.66
0,7000,11.49%,B,10+ years,9.56,0,0,,6,28672,82.90%,7378.342359
0,30000,18.39%,E,10+ years,10.75,0,0,80,11,31626,59.40%,45775.65993
0,12000,5.99%,A,10+ years,11.21,0,0,,7,1017,4.20%,12531.17774
1,35000,18.39%,E,10+ years,10.19,0,0,,9,36328,93.40%,30469.08
0,4050,9.99%,B,2 years,23.13,0,1,,18,19201,56.80%,4703.831517
0,21600,19.29%,E,10+ years,10.72,0,1,86,6,15828,95.90%,26119.81767
0,7000,11.99%,B,1 year,7.16,1,0,19,6,797,21%,7624.379307
0,12000,15.99%,D,9 years,14.72,0,2,24,6,3441,43.60%,16861.32
0,10625,9.99%,B,5 years,29.2,0,1,,5,9816,58.80%,11760.52032
0,20400,17.49%,D,10+ years,18.57,0,2,,15,21189,67.30%,21282.57439
0,3025,11.49%,B,n/a,20.92,0,3,,5,13187,89.70%,3590.555942
0,3500,11.49%,B,5 years,19.95,0,1,,8,24020,90%,4187.687649
0,16000,16.89%,D,5 years,15.08,0,1,,9,13788,75.80%,17264.4176
0,30000,18.39%,E,1 year,10.64,0,1,,6,3320,16.90%,37855.73616
0,10000,16.89%,D,10+ years,23.39,1,1,19,11,11896,54.80%,12558.33706
0,10800,5.42%,A,10+ years,10.94,0,0,,16,9744,19.70%,11507.71364
0,30000,8.49%,A,10+ years,0.21,0,0,,5,550,2%,34087.92231
1,7550,16.89%,D,8 years,21.94,0,1,67,2,1989,79.60%,3493.32
0,5550,8.49%,A,10+ years,26.89,0,2,66,16,45668,51.90%,5986.438588
1,14675,16.89%,D,< 1 year,19.41,0,1,,4,2421,96.80%,2183.96
1,15000,15.23%,C,3 years,11.84,0,2,,13,23216,35.40%,2508.76
0,14000,16.89%,D,8 years,20.33,1,1,8,11,14969,46.20%,19898.40072
0,15000,6.99%,A,n/a,24.42,0,2,,17,29225,34.30%,16671.15511
0,28800,7.49%,A,1 year,4.27,0,0,,13,351,1%,32212.95508
0,22875,14.79%,C,6 years,27.33,0,1,,11,69812,58.60%,27442.14822
0,14000,16.89%,D,1 year,18.22,0,0,,12,42264,79.30%,17941.31244
0,14000,10.59%,B,10+ years,12.2,0,0,,12,11865,23.80%,17405.62
1,6400,19.29%,E,5 years,11.25,0,1,30,4,9245,89.80%,2642.24
0,14500,15.99%,D,4 years,15.36,0,2,67,12,27,0.20%,15260.08695
0,5600,7.49%,A,2 years,24.74,0,1,,6,2454,31.50%,5928.26822
0,2000,11.99%,B,5 years,5.81,0,0,,8,17864,69.30%,2391.079843
0,10000,10.99%,B,3 years,16.51,1,0,22,15,10753,33.50%,11485.25327
0,6000,5.42%,A,10+ years,8.49,0,0,,8,0,0%,6514.520633
0,2100,9.99%,B,6 years,8.89,0,1,68,13,10002,36.90%,2438.993803
0,20000,11.49%,B,10+ years,5.61,0,1,,9,4436,8.70%,25374.98
1,35000,20.25%,F,n/a,15.97,0,1,,6,26485,79.30%,37286.8
0,4500,17.99%,E,3 years,13.53,1,0,23,3,4980,99.60%,5855.79889
0,14800,17.99%,E,7 years,0.98,0,1,55,5,3103,88.70%,20432.33116
0,29000,20.99%,F,5 years,18.33,0,2,,17,27769,84.40%,34298.73741
0,14125,15.23%,C,5 years,20.3,0,1,,7,11275,78.80%,18181.16374
0,24500,19.29%,E,5 years,12.82,0,0,,8,19343,52.60%,37036.57
0,9000,8.49%,A,3 years,15.02,0,0,,13,13765,22.90%,10050.83856
0,20000,10.99%,B,5 years,14.13,0,0,47,7,61,0.50%,25192.7
0,23075,14.79%,C,4 years,5.04,0,3,,6,19171,65.70%,29853.98754
0,28000,16.49%,D,8 years,3.77,0,2,,14,14194,39.10%,35484.64404
0,5100,10.99%,B,10+ years,23.82,0,0,43,9,8777,69.70%,6005.389646
0,14400,10.99%,B,10+ years,15.95,0,2,,11,10557,26.50%,16508.68636
0,10000,10.59%,B,n/a,10.82,0,1,,11,5752,21.10%,10916.72553
0,7200,10.99%,B,5 years,19.32,0,0,,11,1400,29.20%,8484.613835
0,3000,11.99%,B,10+ years,16.36,0,0,,16,42095,88.40%,3586.619763
0,5600,11.49%,B,3 years,3.75,0,0,68,2,1599,8.30%,6653.533413
0,5000,17.49%,D,2 years,11.68,4,3,11,5,1226,94.30%,5538.198736
0,6825,10.99%,B,< 1 year,14.56,0,0,42,7,8473,67.20%,7728.627125
0,2400,5.42%,A,7 years,7.78,0,2,,12,11923,15.10%,2605.790272
0,6000,8.49%,A,2 years,11.17,0,1,,13,13456,23.50%,6817.574796
0,35000,20.99%,F,5 years,13.47,0,1,34,16,7517,96.40%,45129.12528
0,14750,7.49%,A,10+ years,17.82,0,2,,15,18208,37.80%,16514.95892
0,15600,13.49%,C,5 years,10.8,0,1,,19,13783,21%,18286.89672
0,24000,18.39%,E,10+ years,21.53,0,1,40,17,15757,54.50%,36462.04003
0,8000,8.49%,A,10+ years,9.02,0,0,65,9,5760,48.80%,9090.083603
0,7000,10.99%,B,4 years,17.38,1,2,11,17,4937,10%,8009.896682
0,5500,7.49%,A,9 years,6.73,0,0,,3,5199,25.74%,5932.836779
0,13400,23.22%,G,5 years,20.58,2,2,10,13,11981,98.20%,21029.97167
0,10000,17.99%,E,2 years,24.57,0,1,24,11,6168,60%,14464.95
0,8000,16.49%,D,4 years,19.84,0,0,,15,9968,56%,10194.99251
0,35000,20.62%,F,2 years,21.82,0,3,,18,39304,91.80%,55106.27994
0,24000,10.99%,B,10+ years,14.1,0,0,,12,23916,67.60%,28282.1317
0,24000,16.49%,D,4 years,8.14,0,0,28,14,10439,61.80%,30089.27546
0,10000,16.89%,D,6 years,17.06,1,1,11,18,16313,55.10%,12742.45166
0,6000,7.49%,A,1 year,2.16,0,0,,4,11817,55.50%,6242.4
0,18000,11.49%,B,9 years,7.5,0,2,70,12,43703,0%,21365.31998
0,10150,8.49%,A,n/a,20.76,0,1,,22,1345,2%,11533.05355
0,12000,11.99%,B,< 1 year,14.6,1,0,6,10,15029,47.90%,14095.98488
0,6000,16.89%,D,4 years,10.53,0,0,,4,4020,83.70%,8587.86
0,12000,13.99%,C,3 years,12.98,0,1,,8,2316,33.10%,15324.56494
0,5000,10.59%,B,10+ years,8.34,0,1,,10,13373,67.60%,5858.047647
0,11125,10.59%,B,3 years,17.15,0,1,,11,18840,41.60%,12795.97498
0,19800,12.99%,C,2 years,11.84,0,0,,3,3418,40.20%,25359.74951
1,6100,10.99%,B,2 years,18.12,0,1,,6,6139,57.40%,4508.4
0,4500,10.59%,B,3 years,23.45,0,0,,9,7787,43%,5176.088197
0,3000,6.99%,A,2 years,23.44,0,1,,11,1545,4.10%,3323.50343
0,30000,10.99%,B,10+ years,14.46,0,2,,13,7652,53.90%,35352.69665
0,11975,9.99%,B,3 years,21.48,0,0,,15,20566,65.80%,13908.32208
0,8000,7.49%,A,< 1 year,15,0,0,,10,8665,35.10%,8955.417224
0,12000,11.49%,B,8 years,13.75,0,1,,8,10931,56.10%,13400.36758
0,12000,8.49%,A,10+ years,0.91,0,0,,6,2419,12.10%,14598.36999
0,12000,16.49%,D,9 years,13.84,0,1,25,8,11165,57.30%,14474.00955
0,20000,10.99%,B,10+ years,3.08,0,0,,5,1397,2.60%,25147.34921
0,1500,6.99%,A,1 year,24.4,0,0,,8,1751,33%,1551.591094
0,4800,13.49%,C,< 1 year,11.5,1,2,4,15,4791,73.70%,5541.903583
0,4000,15.99%,D,4 years,24.04,0,3,46,14,4160,28%,5784.39
0,25975,14.79%,C,10+ years,24.94,0,2,,11,53554,68.70%,36061.09996
0,6400,10.99%,B,6 years,20.8,0,0,,4,0,0%,6780.83689
0,6000,12.99%,C,< 1 year,18.94,0,1,57,6,2288,91.50%,7255.406655
1,2600,5.99%,A,6 years,4.43,0,3,,6,0,0%,2134.89
0,3300,5.42%,A,4 years,13.11,0,0,,9,18578,23.10%,3582.980354
0,9600,8.49%,A,7 years,23.91,0,0,,14,12193,77.20%,10908.11
0,9975,10.99%,B,< 1 year,1.27,0,3,68,4,167,0.90%,11273.85373
0,7500,15.99%,D,10+ years,14.23,0,0,,10,27537,90%,10746.01999
0,12000,11.49%,B,4 years,17.73,0,0,,9,38342,93.50%,14243.54665
1,9250,10.59%,B,1 year,22.38,0,0,,5,12507,68.70%,7977.42
0,9500,8.49%,A,5 years,0.28,0,2,,4,568,5.20%,10365.7371
1,20250,20.99%,F,6 years,20.93,0,1,,16,14132,51.60%,3276.6
1,20000,18.39%,E,10+ years,10.11,1,0,17,13,11290,31.30%,8705.19
0,1000,10.99%,B,10+ years,5.34,0,0,34,10,1427,6.30%,1257.92
0,20000,12.99%,C,4 years,17.41,0,0,,12,6477,48.30%,26456.74
1,3250,5.99%,A,3 years,23.84,0,0,,8,12693,55.70%,3064.06
1,3000,11.49%,B,1 year,19.2,0,2,,8,7650,94.40%,860.62
0,5000,10.99%,B,10+ years,12.31,0,1,,14,9465,47.60%,5742.467683
0,20000,6.99%,A,10+ years,6.89,0,0,,12,105845,13.70%,21751.77412
0,18000,16.89%,D,4 years,21.1,0,3,24,14,11665,37.40%,26648.25004
0,9000,11.49%,B,< 1 year,9.05,1,0,5,10,10151,31.60%,10665.85673
0,3000,8.49%,A,9 years,0,0,0,,3,0,0%,3408.787396
0,16000,19.69%,E,7 years,22.36,0,2,,11,5444,40.90%,25137.58
0,8000,11.49%,B,5 years,12.64,0,0,29,8,7557,33.10%,9090.197095
0,8000,18.39%,E,7 years,8.79,0,1,78,16,5728,83%,11879.8
0,4500,7.49%,A,n/a,4,0,0,,5,2793,35.80%,5038.452019
0,11000,10.59%,B,3 years,14.71,0,0,29,9,1817,69.90%,12378.09709
0,18000,15.62%,D,10+ years,25.58,0,1,,25,26844,43.80%,22535.54129
0,15000,9.99%,B,7 years,4.11,0,0,,5,8956,35.10%,17421.73084
0,16750,10.59%,B,1 year,18.11,0,0,,8,19061,39.60%,19624.55508
0,2800,12.99%,C,1 year,17.79,0,0,,13,9313,51.70%,3679.3
0,14500,5.99%,A,8 years,5.44,0,0,,6,10924,32.20%,15877.86094
0,35000,19.69%,E,10+ years,5.44,0,3,,7,7389,47.40%,45291.54026
1,2500,8.49%,A,2 years,17.87,0,0,29,7,872,33.50%,860.08
0,16000,5.99%,A,10+ years,14.57,0,0,,11,5894,20.10%,17200.43228
1,35000,21.36%,F,9 years,12.56,1,3,14,17,35860,61.40%,5721.3
0,7125,6.99%,A,6 years,23.1,0,0,,9,7531,27.20%,7837.265842
0,30000,11.99%,B,10+ years,17.75,0,0,,13,9591,29.50%,32293.12521
0,4000,10.59%,B,2 years,22.16,0,1,,8,10299,71.50%,4686.462753
0,15450,17.49%,D,10+ years,21.62,0,0,,8,7949,94.60%,21663.51591
0,6700,9.99%,B,10+ years,11.5,0,0,,10,8493,33.30%,7709.74953
0,20000,10.99%,B,10+ years,23.37,0,0,,7,15512,22.60%,25147.34921
0,17000,7.49%,A,10+ years,6.62,0,0,,5,16964,58.50%,18976.54862
0,1000,11.49%,B,10+ years,17.83,0,2,,10,20596,88%,1186.906039
0,8000,15.62%,D,7 years,2.59,0,2,44,3,11260,27.10%,9946.556471
0,8400,15.62%,D,5 years,13.93,0,0,53,9,7167,57.80%,10574.79963
0,20000,17.49%,D,1 year,18.44,0,0,,13,16835,67.30%,20865.28206
0,5200,5.99%,A,2 years,16.64,0,0,,7,4594,18.80%,5485.00294
1,25000,19.69%,E,8 years,15.4,0,1,,15,40871,80.10%,6305.9
0,7125,7.49%,A,< 1 year,29.93,0,0,,8,7450,40.30%,7565.131856
0,8000,11.49%,B,7 years,15.12,0,0,,5,7478,81.30%,9495.652822
0,9600,10.99%,B,7 years,4.45,0,2,,8,3708,37.80%,10635.1811
0,21000,10.59%,B,1 year,18.16,0,0,25,18,35354,74.40%,24283.96455
0,12000,15.23%,C,< 1 year,8.39,1,1,15,16,263,1.70%,13169.34259
1,2000,5.42%,A,10+ years,17.12,0,0,,8,6451,57.70%,1355.79
0,18000,14.79%,C,2 years,5.77,0,1,,6,26983,87.30%,22396.51909
0,15000,6.99%,A,10+ years,0.6,0,0,,5,1398,15.40%,16671.15512
0,14000,7.49%,A,8 years,1.21,0,0,,5,0,0%,14308.00437
0,5000,11.49%,B,3 years,8.56,0,0,,3,699,12.70%,5934.799868
0,8000,17.49%,D,5 years,19.85,0,1,,17,12004,55.80%,10338.31844
0,10750,8.49%,A,10+ years,11.75,0,1,,12,9085,27.80%,11861.52726
0,3325,11.49%,B,2 years,13,0,1,63,10,5760,19.80%,3946.654722
0,3000,5.99%,A,7 years,22.36,0,2,,7,918,57.40%,3265.060234
0,12000,12.99%,C,3 years,13.86,0,0,,7,8773,43.60%,14188.20489
0,15000,8.49%,A,2 years,10.69,0,1,36,9,7853,20.50%,16897.78733
1,12000,11.49%,B,< 1 year,12.85,0,1,,8,12150,77.90%,9891.45
0,1800,12.99%,C,1 year,7.47,0,0,,2,1377,62.60%,2182.982055
0,6000,7.49%,A,3 years,5.06,0,1,,8,17306,36.40%,6717.950107
0,15000,11.49%,B,7 years,14.58,0,0,61,4,10775,45.90%,17823.75184
0,2400,5.42%,A,2 years,10.13,0,0,,8,3178,12.30%,2605.790272
1,4325,5.42%,A,1 year,20.45,0,2,,10,18833,32.40%,3091.61
0,14000,15.23%,C,10+ years,9.47,1,2,6,11,535,13.70%,19721.37
0,4000,16.49%,D,6 years,13.08,0,1,,3,4641,69.30%,5097.499935
0,3400,15.99%,D,5 years,0.84,1,0,8,5,1509,50.30%,4302.588382
0,9500,15.62%,D,1 year,24.65,0,0,67,5,9547,65%,10459.07807
0,3275,5.42%,A,10+ years,24.88,0,0,,9,20352,48.50%,3555.824531
0,16750,11.99%,B,9 years,19.16,0,0,,8,28616,67.30%,20025.34671
0,20000,17.99%,E,10+ years,20.71,0,1,42,21,1459,60.80%,29413.62
0,10000,7.49%,A,3 years,13.38,0,0,,8,9079,43.20%,11196.56943
1,12300,17.49%,D,3 years,12.46,0,1,,17,9252,46.50%,6745.72
0,9000,8.49%,A,7 years,6.98,0,0,,8,4239,15%,10101.63761
0,20675,10.99%,B,10+ years,14.95,0,0,,10,40968,60.30%,24123.10731
0,5000,7.49%,A,< 1 year,1.68,1,0,20,5,4524,21.50%,5151.8
0,25000,14.79%,C,3 years,5.61,0,1,,12,10593,26.90%,25309.55063
0,10000,8.49%,A,< 1 year,10.64,0,0,,5,11637,76.80%,11281.79886
0,25000,15.99%,D,6 years,18.71,0,0,59,9,26064,53.10%,36317.42
0,4400,15.62%,D,10+ years,19.44,0,0,120,6,2416,54.90%,5539.171662
0,2000,11.49%,B,10+ years,8,0,1,64,9,10557,39.40%,2373.879496
0,25000,16.89%,D,1 year,18.43,0,1,,10,41118,78.80%,32038.10273
0,8000,8.49%,A,4 years,29.42,0,1,,10,5684,38.10%,8733.652901
